m1	Авив Бен Ари
m2	Авитар Виола
m3	Авнер Левин
m4	Адир Даниель
m5	Алан Заикин;ZAIKIN Alan
m6	Александр Бельский
m7	Александр Боровик
m8	Александр Дидух;Didukh Oleksandr
m9	Александр Каракашевич;Karakasevic Aleksandar
m10	Александр Ковалёв
m11	Александр Комов;KOMOV Alexander
m12	Александр Косенок
m13	Александр Курас
m14	Александр Мальцев
m15	Александр Олонов;OLONOV Alexander
m16	Александр Савельев
m17	Александр Савинский
m18	Александр Стеценко;STETSENKO Alexander
m19	Александр Тужилин;Tuzhylin Olexandr
m20	Александр Элинсон
m21	Алексей Бритвин;BRITVIN Alexei
m22	Алексей Жуков;Zhukov Aleksei
m23	Алексей Каулик
m24	Алексей Ливенцов;Liventsov Alexey
m25	Алексей Млинарж
m26	Алексей Пашин;PASHIN Alexei
m27	Алексей Сарматов;Sarmatov Alexei
m28	Алексей Хорьков
m29	Алексей Чернышков;CHERNYSHKOV Alexey
m30	Алинь Спелбус
m31	Альфредас Удра;Udra Alfredas
m32	Анатолий Бондаренко
m33	Анвар Иманкадыров
m34	Андрей Байбулдин;Baibuldin Andrei
m35	Андрей Бондарев
m36	Андрей Букин;BUKIN Andrey
m37	Андрей Грачёв
m38	Андрей Карпов;KARPOV Andrei
m39	Андрей Мазунов
m40	Андрей Ситак;Sitak Andriy
m41	Андрей Цыбин;TCYBIN Andrei
m42	Антон Воронов
m43	Арсений Гусев;Gusev Arseniy
m44	Артем Панченко;PANCHENKO Artem
m45	Артур Григорьев;GRIGOREV Artur
m46	Артур Лопатнюк
m47	Бен Ари Омри;Ben Ari Omri
m48	Бен Сорокин
m49	Бенци Бланк
m50	Богдан Когут
m51	Вадим Бочковский
m52	Вадим Ярошенко;Yarashenka Vadim
m53	Валентин Панкратов
m54	Валерий Зоненко;Zonenko Valeriy
m55	Валерий Раков;Rakov Valerij
m56	Василий Лакеев;LAKEEV Vasily
m57	Василий Скаленко
m58	Василий Филатов;FILATOV Vasilij
m59	Виктор Ефимов;Yefimov Viktor
m60	Виталий Григорьев
m61	Виталий Левшин;Lyevshyn Vitaliy
m62	Виталий Нехведович;Nekhvedovich Vitaly
m63	Виталий Филичев;Filichev Vitaly
m64	Влад Ратушняк
m65	Влади Фурман
m66	Владимир Бриль;BRIL Vladimir
m67	Владислав Паламарчук
m68	Владислав Сорбало
m69	Владислав Стрешнёв
m70	Вячеслав Буров;BUROV Viacheslav
m71	Вячеслав Кривошеев;Krivosheev Viacheslav
m72	Гай Еленский
m73	Галь Ферфель
m74	Геннадий Закладный
